Nom,Fabricant,Production State,Image,Role,Taille,Equipage,Cargo,Lien
G12a,Origin Jumpworks,Long term production,https://media.starcitizen.tools/thumb/4/4c/Origin_Rover_Armour_Promo_A_GC_01B-1-Min.jpg/400px-Origin_Rover_Armour_Promo_A_GC_01B-1-Min.jpg.webp,Military,Vehicle,1 – 2,0 SCU,https://starcitizen.tools/G12a
G12r,Origin Jumpworks,Long term production,https://media.starcitizen.tools/thumb/4/4b/ORIG_Rover_Promo_Racing_Forrest_PJ03-Min.jpg/400px-ORIG_Rover_Promo_Racing_Forrest_PJ03-Min.jpg.webp,Racing,Vehicle,1 – 2,0 SCU,https://starcitizen.tools/G12r
Galaxy,Roberts Space Industries,In concept,https://media.starcitizen.tools/thumb/1/1b/RSI_Galaxy_concept_-_front_quarter_-_Cut.jpg/400px-RSI_Galaxy_concept_-_front_quarter_-_Cut.jpg.webp,Modular,Large,6,64 SCU,https://starcitizen.tools/Galaxy
Genesis Starliner,Crusader Industries,In concept,https://media.starcitizen.tools/thumb/f/f0/Genesis_Starliner_-_Flying_away_from_Terra_Prime.jpg/400px-Genesis_Starliner_-_Flying_away_from_Terra_Prime.jpg.webp,Passenger,Large,2 – 8,300 SCU,https://starcitizen.tools/Genesis_Starliner
Gladiator,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/f/f0/Gladator_flying_over_world.png/400px-Gladator_flying_over_world.png.webp,Bomber,"Small
(S2/XS
)",1 – 2,0 SCU,https://starcitizen.tools/Gladiator
Gladius,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/0/0c/Gladius_-_Flying_away_from_world_through_debris.jpg/400px-Gladius_-_Flying_away_from_world_through_debris.jpg.webp,Light Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Gladius
Gladius Pirate,Aegis Dynamics,Flight ready,,,,,,https://starcitizen.tools/Gladius_Pirate
Gladius Valiant,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/7/76/Gladius_Valiants_x2_flying_in_formation.jpg/400px-Gladius_Valiants_x2_flying_in_formation.jpg.webp,Light Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Gladius_Valiant
Glaive,Esperia,Flight ready,,,,,,https://starcitizen.tools/Glaive
Guardian,Mirai,Flight ready,https://media.starcitizen.tools/thumb/0/02/Guardian_landed_in_ArcCorp_with_pilot_walking_towards_it_-_cropped_and_adjusted.jpg/400px-Guardian_landed_in_ArcCorp_with_pilot_walking_towards_it_-_cropped_and_adjusted.jpg.webp,Heavy fighter,Small,1,0 SCU,https://starcitizen.tools/Guardian
Guardian QI,Mirai,Flight ready,https://media.starcitizen.tools/thumb/2/22/Guardian_QI_over_world_firing_weapons_-_cropped_and_adjusted.jpg/400px-Guardian_QI_over_world_firing_weapons_-_cropped_and_adjusted.jpg.webp,Heavy Fighter,Small,1,0 SCU,https://starcitizen.tools/Guardian_QI
Hammerhead,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/c/c8/Ext_03_03-Min.png/400px-Ext_03_03-Min.png.webp,Heavy Gun Ship,"Large
(S5/L
)",3 – 9,40 SCU,https://starcitizen.tools/Hammerhead
Hammerhead Best In Show Edition,Aegis Dynamics,Flight ready,,,,,,https://starcitizen.tools/Hammerhead_Best_In_Show_Edition
Hawk,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/6/6a/Star_Citizen-_Low_Flying_Hawk.png/400px-Star_Citizen-_Low_Flying_Hawk.png.webp,Light Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Hawk
Herald,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/3/3e/Herald_landed_on_microTech_3.9.png/400px-Herald_landed_on_microTech_3.9.png.webp,Medium Data,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Herald
HoverQuad,Consolidated Outland,Flight ready,https://media.starcitizen.tools/thumb/3/32/HoverQuad_%28x2%29_flying_through_narrow_Canyon.png/400px-HoverQuad_%28x2%29_flying_through_narrow_Canyon.png.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/HoverQuad
Hull A,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/9/9f/Hull-A_taking_off_from_Aberdeen_outpost.jpg/400px-Hull-A_taking_off_from_Aberdeen_outpost.jpg.webp,Medium Freight,"Small
(S2/XS
)",1,64 SCU,https://starcitizen.tools/Hull_A
Hull B,Musashi Industrial and Starflight Concern,In concept,https://media.starcitizen.tools/thumb/a/af/HullBLoaded.jpg/400px-HullBLoaded.jpg.webp,Heavy Freight,Medium,1 – 2,384 SCU,https://starcitizen.tools/Hull_B
Hull C,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/c/ca/Fully_Loaded_Hull_C.png/400px-Fully_Loaded_Hull_C.png.webp,Heavy Freight,"Large
(S5/L
)",2 – 4,"4,608 SCU",https://starcitizen.tools/Hull_C
Hull D,Musashi Industrial and Starflight Concern,In concept,https://media.starcitizen.tools/thumb/8/8d/Hull_D_-_Docked_at_large_station.jpg/400px-Hull_D_-_Docked_at_large_station.jpg.webp,Heavy Freight,Capital,1 – 5,"20,736 SCU",https://starcitizen.tools/Hull_D
Hull E,Musashi Industrial and Starflight Concern,In concept,https://media.starcitizen.tools/thumb/0/06/HullEFront.jpg/400px-HullEFront.jpg.webp,Heavy Freight,Capital,1 – 5,"98,304 SCU",https://starcitizen.tools/Hull_E
Hurricane,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/8/80/Hurricane_3.2_flyable_sale_Action_02-Squashed.jpg/400px-Hurricane_3.2_flyable_sale_Action_02-Squashed.jpg.webp,Heavy Fighter,"Small
(S2/XS
)",1 – 2,0 SCU,https://starcitizen.tools/Hurricane
Idris-K,Aegis Dynamics,In concept,https://media.starcitizen.tools/thumb/2/25/Ares_x5_flying_towards_Idris_K.jpg/400px-Ares_x5_flying_towards_Idris_K.jpg.webp,Frigate,Capital,8 – 28,995 SCU,https://starcitizen.tools/Idris-K
Idris-M,Aegis Dynamics,Active for Squadron 42,https://media.starcitizen.tools/thumb/8/8a/UEES_Stanton_-_Isometric.jpg/400px-UEES_Stanton_-_Isometric.jpg.webp,Frigate,"Capital
(S6/XL
)",8 – 28,831 SCU,https://starcitizen.tools/Idris-M
Idris-P,Aegis Dynamics,Active for Squadron 42,https://media.starcitizen.tools/thumb/d/d9/Idris-P_Concept_Clouds_-_Cropped.jpg/400px-Idris-P_Concept_Clouds_-_Cropped.jpg.webp,Frigate,Capital,8 – 28,995 SCU,https://starcitizen.tools/Idris-P
Intrepid,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/9/9a/Intrepid_on_Crusader_landing_pad_-_cropped.jpg/400px-Intrepid_on_Crusader_landing_pad_-_cropped.jpg.webp,Starter/Light Freight,"Small
(S2/XS
)",1,8 SCU,https://starcitizen.tools/Intrepid
Ironclad,Drake Interplanetary,Active production,https://media.starcitizen.tools/thumb/d/d9/Ironclad_x2_floating_over_sandy_world_-_Cropped.jpg/400px-Ironclad_x2_floating_over_sandy_world_-_Cropped.jpg.webp,Armored Freight,Large,1 – 6,"1,536 SCU",https://starcitizen.tools/Ironclad
Ironclad Assault,Drake Interplanetary,In concept,https://media.starcitizen.tools/thumb/2/21/Ironclad_Assault_flying_low_over_world_firing_weapons_-_Cropped.jpg/400px-Ironclad_Assault_flying_low_over_world_firing_weapons_-_Cropped.jpg.webp,Combined Arms Platform,Large,1 – 6,"1,152 SCU",https://starcitizen.tools/Ironclad_Assault
Javelin,Aegis Dynamics,Active for Squadron 42,https://media.starcitizen.tools/thumb/8/86/Javelin-fireworks-invictus-2950.jpg/400px-Javelin-fireworks-invictus-2950.jpg.webp,Destroyer,"Capital
(S6/XL
)",12 – 80,"5,400 SCU",https://starcitizen.tools/Javelin
Khartu-al,Aopoa,Flight ready,https://media.starcitizen.tools/thumb/a/ad/Khartu-Al_x2_firing_weapons_flying_over_mountains.jpg/400px-Khartu-Al_x2_firing_weapons_flying_over_mountains.jpg.webp,Light Fighter,"Small
(S3/S
)",1,0 SCU,https://starcitizen.tools/Khartu-al
Kraken,Drake Interplanetary,In production,https://media.starcitizen.tools/thumb/0/03/Kraken_AboveShipMisty_Concept.jpg/400px-Kraken_AboveShipMisty_Concept.jpg.webp,"Multi-Role, Light Carrier",Capital,10,"3,792 SCU",https://starcitizen.tools/Kraken
Kraken Privateer,Drake Interplanetary,In concept,https://media.starcitizen.tools/thumb/9/99/Privateer_-_Landed_Rear_Port.jpg/400px-Privateer_-_Landed_Rear_Port.jpg.webp,"Multi-Role, Light Carrier",Capital,1 – 10,768 SCU,https://starcitizen.tools/Kraken_Privateer
Legionnaire,Anvil Aerospace,Active production,https://media.starcitizen.tools/thumb/f/f1/Legionnaire_flying_formation.jpg/400px-Legionnaire_flying_formation.jpg.webp,Boarding,Small,1 – 2,0 SCU,https://starcitizen.tools/Legionnaire
Liberator,Anvil Aerospace,In concept,https://media.starcitizen.tools/thumb/d/d3/Anvil-liberator-promo-05.png/400px-Anvil-liberator-promo-05.png.webp,Light Carrier,Large,1 – 2,400 SCU,https://starcitizen.tools/Liberator
Lynx,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/1/17/Lynx_on_platform_in_nightime_Lorville_-_Cut.jpg/400px-Lynx_on_platform_in_nightime_Lorville_-_Cut.jpg.webp,"Luxury Transport, Explorer","Vehicle
(S3/S
)",1 – 2,0 SCU,https://starcitizen.tools/Lynx
M2 Hercules Starlifter,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/8/8e/M2_Gallery_Fly_Front.jpg/400px-M2_Gallery_Fly_Front.jpg.webp,Military Transport,"Large
(S5/L
)",1 – 3,522 SCU,https://starcitizen.tools/M2_Hercules_Starlifter
M50,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/6/62/M50_Hangar.jpg/400px-M50_Hangar.jpg.webp,Racing,"Small
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/M50
Mantis,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/8/82/RSI_Mantis_Hasgaha_3.7_2019-11-06.png/400px-RSI_Mantis_Hasgaha_3.7_2019-11-06.png.webp,Interdictor,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Mantis
Merchantman,Banu Souli,In concept,https://media.starcitizen.tools/thumb/8/8c/Merchantman_Concept_-_Citizen_Con_2021.png/400px-Merchantman_Concept_-_Citizen_Con_2021.png.webp,Heavy Freight,Large,4 – 8,"2,880 SCU",https://starcitizen.tools/Merchantman
Mercury Star Runner,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/b/b8/Mercury_Star_Runner_over_Hurston.png/400px-Mercury_Star_Runner_over_Hurston.png.webp,"Medium Data, Medium Cargo","Large
(S4/M
)",2 – 3,"Medium Data, Medium Cargo",https://starcitizen.tools/Mercury_Star_Runner
MOLE,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/f/f0/Mole_flying_through_space_-_Isometric.jpg/400px-Mole_flying_through_space_-_Isometric.jpg.webp,"Mining, Prospecting","Medium
(S3/S
)",2 – 4,96 SCU,https://starcitizen.tools/MOLE
MOLE Carbon,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/0/01/MOLE_Carbon_-_Flying_front_starboard_-_cropped_and_adjusted.jpg/400px-MOLE_Carbon_-_Flying_front_starboard_-_cropped_and_adjusted.jpg.webp,"Mining, Prospecting","Medium
(S3/S
)",2 – 4,96 SCU,https://starcitizen.tools/MOLE_Carbon
MOLE Talus,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/1/18/MOLE_Talus_-_Flying_front_starboard_-_cropped_and_adjusted.jpg/400px-MOLE_Talus_-_Flying_front_starboard_-_cropped_and_adjusted.jpg.webp,"Mining, Prospecting","Medium
(S3/S
)",2 – 4,96 SCU,https://starcitizen.tools/MOLE_Talus
MPUV Cargo,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/6/66/SC-3.22_20240405_MPUV-Cargo-over-water.png/400px-SC-3.22_20240405_MPUV-Cargo-over-water.png.webp,Light Freight,"Snub
(S1/XXS
)",1,2 SCU,https://starcitizen.tools/MPUV_Cargo
MPUV Personnel,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/4/43/Mpuv-1p-flight.jpg/400px-Mpuv-1p-flight.jpg.webp,Passenger,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/MPUV_Personnel
MPUV Tractor,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/2/21/MPUV-1T_flying_through_Orison_cargo_platform_-_Cropped.png/400px-MPUV-1T_flying_through_Orison_cargo_platform_-_Cropped.png.webp,Cargo Loader,"Snub
(S1/XXS
)",1,Cargo Loader,https://starcitizen.tools/MPUV_Tractor
Mule,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/b/b7/Mule_front_%27claw%27_holding_a_cargo_box_-_Cropped.jpg/400px-Mule_front_%27claw%27_holding_a_cargo_box_-_Cropped.jpg.webp,Transport,"Vehicle
(S1/XXS
)",1,1 SCU,https://starcitizen.tools/Mule
Mustang Alpha,Consolidated Outland,Flight ready,https://media.starcitizen.tools/thumb/5/52/Mustang_Alpha_flying_over_Lorville.jpg/400px-Mustang_Alpha_flying_over_Lorville.jpg.webp,Cargo,"Small
(S2/XS
)",1,Cargo,https://starcitizen.tools/Mustang_Alpha
Mustang Alpha Vindicator,Consolidated Outland,Flight ready,https://media.starcitizen.tools/thumb/2/2a/Mustang_Alpha_%27Vindicator%27_flying_above_world_with_other_variants.jpg/400px-Mustang_Alpha_%27Vindicator%27_flying_above_world_with_other_variants.jpg.webp,"Starter, Light Freight","Small
(S2/XS
)",1,4 SCU,https://starcitizen.tools/Mustang_Alpha_Vindicator
Mustang Beta,Consolidated Outland,Flight ready,https://media.starcitizen.tools/thumb/e/ea/Mustang_Beta_-_Flying_past_distant_world.jpg/400px-Mustang_Beta_-_Flying_past_distant_world.jpg.webp,Pathfinder,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Mustang_Beta
Mustang Delta,Consolidated Outland,Flight ready,https://media.starcitizen.tools/thumb/5/5b/Mustang_Delta_Invictus_2950_promo_shot_-_cropped_contrast_adjusted.png/400px-Mustang_Delta_Invictus_2950_promo_shot_-_cropped_contrast_adjusted.png.webp,Light Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Mustang_Delta
Mustang Gamma,Consolidated Outland,Flight ready,https://media.starcitizen.tools/thumb/9/96/Mustang_Gamma_flying_over_forest.jpg/400px-Mustang_Gamma_flying_over_forest.jpg.webp,Racing,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Mustang_Gamma
Mustang Omega,Consolidated Outland,Flight ready,https://media.starcitizen.tools/thumb/a/a7/Mustang_Omega_in_hangar.png/400px-Mustang_Omega_in_hangar.png.webp,Racing,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Mustang_Omega
Nautilus,Aegis Dynamics,In concept,https://media.starcitizen.tools/thumb/7/7c/Nautilus_-_Deploying_mines_-_Front_Starboard.png/400px-Nautilus_-_Deploying_mines_-_Front_Starboard.png.webp,Minelayer,Large,4 – 8,64 SCU,https://starcitizen.tools/Nautilus
Nomad,Consolidated Outland,Flight ready,https://media.starcitizen.tools/thumb/1/1f/Nomad_flying_above_Crusader_clouds_-_Crop.jpg/400px-Nomad_flying_above_Crusader_clouds_-_Crop.jpg.webp,Starter,"Small
(S2/XS
)",1,24 SCU,https://starcitizen.tools/Nomad
Nova,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/7/79/Nova_x2_on_battlefield_-_Cropped.png/400px-Nova_x2_on_battlefield_-_Cropped.png.webp,Combat,"Vehicle
(S4/M
)",1 – 3,0 SCU,https://starcitizen.tools/Nova
Nox,Aopoa,Flight ready,https://media.starcitizen.tools/thumb/5/52/Nox_x2_flying_fast_close_to_Daymar_hills.jpg/400px-Nox_x2_flying_fast_close_to_Daymar_hills.jpg.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Nox
Nox Kue,Aopoa,Flight ready,https://media.starcitizen.tools/thumb/a/ad/Nox_Kue_in_RandY_-_Port.png/400px-Nox_Kue_in_RandY_-_Port.png.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Nox_Kue
Odyssey,Musashi Industrial and Starflight Concern,In concept,https://media.starcitizen.tools/thumb/8/82/MISC_Odyssey_Promo_flying_away_from_planet.jpg/400px-MISC_Odyssey_Promo_flying_away_from_planet.jpg.webp,Expedition,Capital,4 – 6,252 SCU,https://starcitizen.tools/Odyssey
Orion,Roberts Space Industries,In concept,https://media.starcitizen.tools/thumb/2/20/The_Shipyard_-_Careers_and_Roles_-_Resources2.jpg/400px-The_Shipyard_-_Careers_and_Roles_-_Resources2.jpg.webp,Heavy Mining,Capital,4 – 7,384 SCU,https://starcitizen.tools/Orion
P-52 Merlin,Kruger Intergalactic,Flight ready,https://media.starcitizen.tools/thumb/a/a6/P-52_-_Undocking_from_Constellation_over_world.jpg/400px-P-52_-_Undocking_from_Constellation_over_world.jpg.webp,Snub Fighter,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/P-52_Merlin
P-72 Archimedes,Kruger Intergalactic,Flight ready,https://media.starcitizen.tools/thumb/d/d8/Archimedes_-_Landed_on_pad_-_Above_Port.jpg/400px-Archimedes_-_Landed_on_pad_-_Above_Port.jpg.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/P-72_Archimedes
P-72 Archimedes Emerald,Kruger Intergalactic,Flight ready,https://media.starcitizen.tools/thumb/4/49/P-72_Archimedes_Emerald_flying_fast_over_Microtech_mountains.png/400px-P-72_Archimedes_Emerald_flying_fast_over_Microtech_mountains.png.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/P-72_Archimedes_Emerald
Paladin,Anvil Aerospace,In concept,https://media.starcitizen.tools/thumb/7/70/Paladin_x2_flying_fast_over_structure_-_cropped_and_adjusted.png/400px-Paladin_x2_flying_fast_over_structure_-_cropped_and_adjusted.png.webp,Gunship,Medium,1 – 4,0 SCU,https://starcitizen.tools/Paladin
Perseus,Roberts Space Industries,Active production,https://media.starcitizen.tools/thumb/3/3b/RSI-Perseus-promo_01.jpg/400px-RSI-Perseus-promo_01.jpg.webp,Heavy Gunship,Large,1 – 6,50 SCU,https://starcitizen.tools/Perseus
Pioneer,Consolidated Outland,Active production,https://media.starcitizen.tools/thumb/9/9b/Pioneer_at_mountainous_outpost_-_cropped.png/400px-Pioneer_at_mountainous_outpost_-_cropped.png.webp,Heavy Construction,Capital,4 – 8,"1,000 SCU",https://starcitizen.tools/Pioneer
Polaris,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/d/d2/Polaris_flying_through_asteroid_field_firing_torpedoes_and_missiles_-_cropped.png/400px-Polaris_flying_through_asteroid_field_firing_torpedoes_and_missiles_-_cropped.png.webp,Corvette (Militia / Patrol),"Capital
(S6/XL
)",6 – 12,576 SCU,https://starcitizen.tools/Polaris
Prospector,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/d/dd/Prospector_-_Hovering_mining_on_cliffside_1.jpg/400px-Prospector_-_Hovering_mining_on_cliffside_1.jpg.webp,"Mining, Prospecting","Small
(S2/XS
)",1,32 SCU,https://starcitizen.tools/Prospector
Prowler,Esperia,Flight ready,https://media.starcitizen.tools/thumb/a/a4/Prowler_-_Hovering_over_landscape.jpg/400px-Prowler_-_Hovering_over_landscape.jpg.webp,Dropship,"Medium
(S3/S
)",1 – 2,0 SCU,https://starcitizen.tools/Prowler
PTV,Greycat Industrial,Flight ready,https://media.starcitizen.tools/thumb/e/e0/PTV_-_Updated_3D_concept.png/400px-PTV_-_Updated_3D_concept.png.webp,Touring,"Vehicle
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/PTV
Pulse,Mirai,Flight ready,https://media.starcitizen.tools/thumb/8/8e/Pulse_x2_fly_fast_through_dusty_world_firing_guns.png/400px-Pulse_x2_fly_fast_through_dusty_world_firing_guns.png.webp,Combat,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Pulse
Pulse LX,Mirai,Flight ready,https://media.starcitizen.tools/thumb/6/6f/Pulse_LX_flying_through_city_cropped.png/400px-Pulse_LX_flying_through_city_cropped.png.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Pulse_LX
RAFT,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/c/c1/RAFT_-_Flying_over_Lorville.jpg/400px-RAFT_-_Flying_over_Lorville.jpg.webp,Medium Freight,"Medium
(S3/S
)",1 – 2,96 SCU,https://starcitizen.tools/RAFT
Railen,Gatac Manufacture,Long term production,https://media.starcitizen.tools/thumb/7/72/Railen_flying_through_clouds_-_Cut_and_contrast_adjusted.jpg/400px-Railen_flying_through_clouds_-_Cut_and_contrast_adjusted.jpg.webp,Medium Freight,Large,1 – 4,320 SCU,https://starcitizen.tools/Railen
Ranger CV,Tumbril Land Systems,In concept,https://media.starcitizen.tools/thumb/0/0b/Ranger_Concept_Racing.jpg/400px-Ranger_Concept_Racing.jpg.webp,Touring,Vehicle,1,0.375 SCU,https://starcitizen.tools/Ranger_CV
Ranger RC,Tumbril Land Systems,In concept,https://media.starcitizen.tools/thumb/2/25/Ranger_RC_with_NPC_in_front_of_signs.jpg/400px-Ranger_RC_with_NPC_in_front_of_signs.jpg.webp,Racing,Vehicle,1,0 SCU,https://starcitizen.tools/Ranger_RC
Ranger TR,Tumbril Land Systems,In concept,https://media.starcitizen.tools/thumb/7/7f/Ranger_TR_moving_fast_in_dark_firing_guns.jpg/400px-Ranger_TR_moving_fast_in_dark_firing_guns.jpg.webp,Combat,Vehicle,1,0 SCU,https://starcitizen.tools/Ranger_TR
Razor,Mirai,Flight ready,https://media.starcitizen.tools/thumb/6/64/Mirai_Razor_landed_in_hangar_-_cropped.png/400px-Mirai_Razor_landed_in_hangar_-_cropped.png.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Razor
Razor EX,Mirai,Flight ready,https://media.starcitizen.tools/thumb/0/04/Razor_EX_-_Flying_low_over_grassland.jpg/400px-Razor_EX_-_Flying_low_over_grassland.jpg.webp,Stealth,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Razor_EX
Razor LX,Mirai,Flight ready,https://media.starcitizen.tools/thumb/1/19/Razor_LX_moving_fast_against_blurred_Microtech_background.png/400px-Razor_LX_moving_fast_against_blurred_Microtech_background.png.webp,Luxury,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Razor_LX
Reclaimer,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/f/f5/Reclaimer_-_Near_world_lookings_at_wreckage.jpg/400px-Reclaimer_-_Near_world_lookings_at_wreckage.jpg.webp,Heavy Salvage,"Capital
(S6/XL
)",4 – 5,180 SCU,https://starcitizen.tools/Reclaimer
Reclaimer Best In Show Edition,Aegis Dynamics,Flight ready,,,,,,https://starcitizen.tools/Reclaimer_Best_In_Show_Edition
Redeemer,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/c/cb/Redeemer_-_Flying_x2_though_canyon_attacking_Cutlass%27s.jpg/400px-Redeemer_-_Flying_x2_though_canyon_attacking_Cutlass%27s.jpg.webp,Gunship,"Large
(S4/M
)",3 – 4,2 SCU,https://starcitizen.tools/Redeemer
Reliant Kore,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/b/ba/Reliant_Kore_Landing_in_New_Babbage_Alpha_3.9.jpg/400px-Reliant_Kore_Landing_in_New_Babbage_Alpha_3.9.jpg.webp,"Starter, Light Freight","Medium
(S3/S
)",1 – 2,6 SCU,https://starcitizen.tools/Reliant_Kore
Reliant Mako,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/9/9f/MISC_Reliant_Mako_Landing_at_Area11.png/400px-MISC_Reliant_Mako_Landing_at_Area11.png.webp,Reporting,"Medium
(S3/S
)",1 – 2,0 SCU,https://starcitizen.tools/Reliant_Mako
Reliant Sen,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/2/2f/Reliant_Sen_Formation_Alpha_3.9.jpg/400px-Reliant_Sen_Formation_Alpha_3.9.jpg.webp,Light Science,"Medium
(S3/S
)",1 – 2,0 SCU,https://starcitizen.tools/Reliant_Sen
Reliant Tana,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/b/b7/Reliant_Tana_Formation_Alpha_3.9.jpg/400px-Reliant_Tana_Formation_Alpha_3.9.jpg.webp,Light Fighter,"Medium
(S3/S
)",1 – 2,1 SCU,https://starcitizen.tools/Reliant_Tana
Retaliator,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/4/4a/Retaliator_x2_flying_over_cloud_firing_torpedoes_-_cropped_and_adjusted.png/400px-Retaliator_x2_flying_over_cloud_firing_torpedoes_-_cropped_and_adjusted.png.webp,Modular Gunship,"Large
(S4/M
)",4 – 7,0 SCU,https://starcitizen.tools/Retaliator
ROC,Greycat Industrial,Flight ready,https://media.starcitizen.tools/thumb/6/63/Grin_ROC_Gallery_Surface_CaveMining.jpg/400px-Grin_ROC_Gallery_Surface_CaveMining.jpg.webp,Mining,"Vehicle
(S1/XXS
)",1,0.8 SCU,https://starcitizen.tools/ROC
ROC-DS,Greycat Industrial,Playable,https://media.starcitizen.tools/thumb/6/62/GRIN_ROC_DS_TopBanner_-_Crop.png/400px-GRIN_ROC_DS_TopBanner_-_Crop.png.webp,Mining,"Vehicle
(S1/XXS
)",1 – 2,3.5 SCU,https://starcitizen.tools/ROC-DS
Sabre,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/c/c7/Sabre_-_Flying_with_all_guns_firing.jpg/400px-Sabre_-_Flying_with_all_guns_firing.jpg.webp,Stealth Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Sabre
Sabre Comet,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/f/fd/Sabre_Comet_-_Flying_away_from_world_through_debris_field.jpg/400px-Sabre_Comet_-_Flying_away_from_world_through_debris_field.jpg.webp,Medium Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Sabre_Comet
Sabre Firebird,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/6/61/Sabre_Firebird_flying_through_clouds_with_sun_behind_-_Cropped.jpg/400px-Sabre_Firebird_flying_through_clouds_with_sun_behind_-_Cropped.jpg.webp,Medium Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Sabre_Firebird
Sabre Peregrine,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/1/12/Sabre_Peregrine_flying_fast_over_Teasa_Spaceport_-_Rear_Port.jpg/400px-Sabre_Peregrine_flying_fast_over_Teasa_Spaceport_-_Rear_Port.jpg.webp,Racing,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Sabre_Peregrine
San'tok.yāi,Aopoa,Flight ready,https://media.starcitizen.tools/thumb/c/cb/San%27Tok.Yai_in_battle_over_world_firing_weapons_-_Cut.jpg/400px-San%27Tok.Yai_in_battle_over_world_firing_weapons_-_Cut.jpg.webp,Medium Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/San%27tok.y%C4%81i
