id,name,brand,focus,scu,size,crew,flight_ready,image_url
164,Kraken,Drake Interplanetary,"Multi-Role, Light Carrier",,Capital,10,false,https://media.starcitizen.tools/thumb/0/03/Kraken_AboveShipMisty_Concept.jpg/400px-Kraken_AboveShipMisty_Concept.jpg.webp
165,Kraken Privateer,Drake Interplanetary,"Multi-Role, Light Carrier",,Capital,1 – 10,false,https://media.starcitizen.tools/thumb/9/99/Privateer_-_Landed_Rear_Port.jpg/400px-Privateer_-_Landed_Rear_Port.jpg.webp
166,Legionnaire,Anvil Aerospace,Boarding,,Small,1 – 2,false,https://media.starcitizen.tools/thumb/f/f1/Legionnaire_flying_formation.jpg/400px-Legionnaire_flying_formation.jpg.webp
167,Liberator,Anvil Aerospace,Light Carrier,,Large,1 – 2,false,https://media.starcitizen.tools/thumb/d/d3/Anvil-liberator-promo-05.png/400px-Anvil-liberator-promo-05.png.webp
168,Lynx,Roberts Space Industries,"Luxury Transport, Explorer",,Vehicle S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/1/17/Lynx_on_platform_in_nightime_Lorville_-_Cut.jpg/400px-Lynx_on_platform_in_nightime_Lorville_-_Cut.jpg.webp
169,M2 Hercules Starlifter,Crusader Industries,Military Transport,,Large S5/L,1 – 3,true,https://media.starcitizen.tools/thumb/8/8e/M2_Gallery_Fly_Front.jpg/400px-M2_Gallery_Fly_Front.jpg.webp
170,M50,Origin Jumpworks,Racing,,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/6/62/M50_Hangar.jpg/400px-M50_Hangar.jpg.webp
150,Hull A,MISC,Medium Freight,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/9/9f/Hull-A_taking_off_from_Aberdeen_outpost.jpg/400px-Hull-A_taking_off_from_Aberdeen_outpost.jpg.webp
154,Hull E,MISC,Heavy Freight,,Capital,1 – 5,false,https://media.starcitizen.tools/thumb/0/06/HullEFront.jpg/400px-HullEFront.jpg.webp
171,Mantis,Roberts Space Industries,Interdictor,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/8/82/RSI_Mantis_Hasgaha_3.7_2019-11-06.png/400px-RSI_Mantis_Hasgaha_3.7_2019-11-06.png.webp
173,Mercury Star Runner,Crusader Industries,"Medium Data, Medium Cargo",,Large S4/M,2 – 3,true,https://media.starcitizen.tools/thumb/b/b8/Mercury_Star_Runner_over_Hurston.png/400px-Mercury_Star_Runner_over_Hurston.png.webp
174,MOLE,Argo Astronautics,"Mining, Prospecting",,Medium S3/S,2 – 4,true,https://media.starcitizen.tools/thumb/f/f0/Mole_flying_through_space_-_Isometric.jpg/400px-Mole_flying_through_space_-_Isometric.jpg.webp
175,MOLE Carbon,Argo Astronautics,"Mining, Prospecting",,Medium S3/S,2 – 4,true,https://media.starcitizen.tools/thumb/0/01/MOLE_Carbon_-_Flying_front_starboard_-_cropped_and_adjusted.jpg/400px-MOLE_Carbon_-_Flying_front_starboard_-_cropped_and_adjusted.jpg.webp
176,MOLE Talus,Argo Astronautics,"Mining, Prospecting",,Medium S3/S,2 – 4,true,https://media.starcitizen.tools/thumb/1/18/MOLE_Talus_-_Flying_front_starboard_-_cropped_and_adjusted.jpg/400px-MOLE_Talus_-_Flying_front_starboard_-_cropped_and_adjusted.jpg.webp
177,MPUV Cargo,Argo Astronautics,Light Freight,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/6/66/SC-3.22_20240405_MPUV-Cargo-over-water.png/400px-SC-3.22_20240405_MPUV-Cargo-over-water.png.webp
178,MPUV Personnel,Argo Astronautics,Passenger,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/4/43/Mpuv-1p-flight.jpg/400px-Mpuv-1p-flight.jpg.webp
179,MPUV Tractor,Argo Astronautics,Cargo Loader,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/2/21/MPUV-1T_flying_through_Orison_cargo_platform_-_Cropped.png/400px-MPUV-1T_flying_through_Orison_cargo_platform_-_Cropped.png.webp
180,Mule,Drake Interplanetary,Transport,,Vehicle S1/XXS,1,true,https://media.starcitizen.tools/thumb/b/b7/Mule_front_%27claw%27_holding_a_cargo_box_-_Cropped.jpg/400px-Mule_front_%27claw%27_holding_a_cargo_box_-_Cropped.jpg.webp
181,Mustang Alpha,Consolidated Outland,Cargo,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/5/52/Mustang_Alpha_flying_over_Lorville.jpg/400px-Mustang_Alpha_flying_over_Lorville.jpg.webp
182,Mustang Alpha Vindicator,Consolidated Outland,"Starter, Light Freight",,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/2/2a/Mustang_Alpha_%27Vindicator%27_flying_above_world_with_other_variants.jpg/400px-Mustang_Alpha_%27Vindicator%27_flying_above_world_with_other_variants.jpg.webp
183,Mustang Beta,Consolidated Outland,Pathfinder,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/e/ea/Mustang_Beta_-_Flying_past_distant_world.jpg/400px-Mustang_Beta_-_Flying_past_distant_world.jpg.webp
184,Mustang Delta,Consolidated Outland,Light Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/5/5b/Mustang_Delta_Invictus_2950_promo_shot_-_cropped_contrast_adjusted.png/400px-Mustang_Delta_Invictus_2950_promo_shot_-_cropped_contrast_adjusted.png.webp
185,Mustang Gamma,Consolidated Outland,Racing,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/9/96/Mustang_Gamma_flying_over_forest.jpg/400px-Mustang_Gamma_flying_over_forest.jpg.webp
186,Mustang Omega,Consolidated Outland,Racing,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/a/a7/Mustang_Omega_in_hangar.png/400px-Mustang_Omega_in_hangar.png.webp
187,Nautilus,Aegis Dynamics,Minelayer,,Large,4 – 8,false,https://media.starcitizen.tools/thumb/7/7c/Nautilus_-_Deploying_mines_-_Front_Starboard.png/400px-Nautilus_-_Deploying_mines_-_Front_Starboard.png.webp
188,Nomad,Consolidated Outland,Starter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/1/1f/Nomad_flying_above_Crusader_clouds_-_Crop.jpg/400px-Nomad_flying_above_Crusader_clouds_-_Crop.jpg.webp
189,Nova,Tumbril Land Systems,Combat,,Vehicle S4/M,1 – 3,true,https://media.starcitizen.tools/thumb/7/79/Nova_x2_on_battlefield_-_Cropped.png/400px-Nova_x2_on_battlefield_-_Cropped.png.webp
190,Nox,Aopoa,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/5/52/Nox_x2_flying_fast_close_to_Daymar_hills.jpg/400px-Nox_x2_flying_fast_close_to_Daymar_hills.jpg.webp
191,Nox Kue,Aopoa,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/a/ad/Nox_Kue_in_RandY_-_Port.png/400px-Nox_Kue_in_RandY_-_Port.png.webp
193,Orion,Roberts Space Industries,Heavy Mining,,Capital,4 – 7,false,https://media.starcitizen.tools/thumb/2/20/The_Shipyard_-_Careers_and_Roles_-_Resources2.jpg/400px-The_Shipyard_-_Careers_and_Roles_-_Resources2.jpg.webp
194,P-52 Merlin,Kruger Intergalactic,Snub Fighter,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/a/a6/P-52_-_Undocking_from_Constellation_over_world.jpg/400px-P-52_-_Undocking_from_Constellation_over_world.jpg.webp
195,P-72 Archimedes,Kruger Intergalactic,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/d/d8/Archimedes_-_Landed_on_pad_-_Above_Port.jpg/400px-Archimedes_-_Landed_on_pad_-_Above_Port.jpg.webp
196,P-72 Archimedes Emerald,Kruger Intergalactic,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/4/49/P-72_Archimedes_Emerald_flying_fast_over_Microtech_mountains.png/400px-P-72_Archimedes_Emerald_flying_fast_over_Microtech_mountains.png.webp
197,Paladin,Anvil Aerospace,Gunship,,Medium,1 – 4,false,https://media.starcitizen.tools/thumb/7/70/Paladin_x2_flying_fast_over_structure_-_cropped_and_adjusted.png/400px-Paladin_x2_flying_fast_over_structure_-_cropped_and_adjusted.png.webp
198,Perseus,Roberts Space Industries,Heavy Gunship,,Large,1 – 6,false,https://media.starcitizen.tools/thumb/3/3b/RSI-Perseus-promo_01.jpg/400px-RSI-Perseus-promo_01.jpg.webp
199,Pioneer,Consolidated Outland,Heavy Construction,,Capital,4 – 8,false,https://media.starcitizen.tools/thumb/9/9b/Pioneer_at_mountainous_outpost_-_cropped.png/400px-Pioneer_at_mountainous_outpost_-_cropped.png.webp
200,Polaris,Roberts Space Industries,Corvette (Militia / Patrol),,Capital S6/XL,6 – 12,true,https://media.starcitizen.tools/thumb/d/d2/Polaris_flying_through_asteroid_field_firing_torpedoes_and_missiles_-_cropped.png/400px-Polaris_flying_through_asteroid_field_firing_torpedoes_and_missiles_-_cropped.png.webp
202,Prowler,Esperia,Dropship,,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/a/a4/Prowler_-_Hovering_over_landscape.jpg/400px-Prowler_-_Hovering_over_landscape.jpg.webp
203,PTV,Greycat Industrial,Touring,,Vehicle S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/e/e0/PTV_-_Updated_3D_concept.png/400px-PTV_-_Updated_3D_concept.png.webp
204,Pulse,Mirai,Combat,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/8/8e/Pulse_x2_fly_fast_through_dusty_world_firing_guns.png/400px-Pulse_x2_fly_fast_through_dusty_world_firing_guns.png.webp
205,Pulse LX,Mirai,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/6/6f/Pulse_LX_flying_through_city_cropped.png/400px-Pulse_LX_flying_through_city_cropped.png.webp
206,RAFT,Argo Astronautics,Medium Freight,,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/c/c1/RAFT_-_Flying_over_Lorville.jpg/400px-RAFT_-_Flying_over_Lorville.jpg.webp
207,Railen,Gatac Manufacture,Medium Freight,,Large,1 – 4,false,https://media.starcitizen.tools/thumb/7/72/Railen_flying_through_clouds_-_Cut_and_contrast_adjusted.jpg/400px-Railen_flying_through_clouds_-_Cut_and_contrast_adjusted.jpg.webp
208,Ranger CV,Tumbril Land Systems,Touring,,Vehicle,1,false,https://media.starcitizen.tools/thumb/0/0b/Ranger_Concept_Racing.jpg/400px-Ranger_Concept_Racing.jpg.webp
209,Ranger RC,Tumbril Land Systems,Racing,,Vehicle,1,false,https://media.starcitizen.tools/thumb/2/25/Ranger_RC_with_NPC_in_front_of_signs.jpg/400px-Ranger_RC_with_NPC_in_front_of_signs.jpg.webp
210,Ranger TR,Tumbril Land Systems,Combat,,Vehicle,1,false,https://media.starcitizen.tools/thumb/7/7f/Ranger_TR_moving_fast_in_dark_firing_guns.jpg/400px-Ranger_TR_moving_fast_in_dark_firing_guns.jpg.webp
211,Razor,Mirai,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/6/64/Mirai_Razor_landed_in_hangar_-_cropped.png/400px-Mirai_Razor_landed_in_hangar_-_cropped.png.webp
212,Razor EX,Mirai,Stealth,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/0/04/Razor_EX_-_Flying_low_over_grassland.jpg/400px-Razor_EX_-_Flying_low_over_grassland.jpg.webp
213,Razor LX,Mirai,Luxury,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/1/19/Razor_LX_moving_fast_against_blurred_Microtech_background.png/400px-Razor_LX_moving_fast_against_blurred_Microtech_background.png.webp
214,Reclaimer,Aegis Dynamics,Heavy Salvage,,Capital S6/XL,4 – 5,true,https://media.starcitizen.tools/thumb/f/f5/Reclaimer_-_Near_world_lookings_at_wreckage.jpg/400px-Reclaimer_-_Near_world_lookings_at_wreckage.jpg.webp
216,Redeemer,Aegis Dynamics,Gunship,,Large S4/M,3 – 4,true,https://media.starcitizen.tools/thumb/c/cb/Redeemer_-_Flying_x2_though_canyon_attacking_Cutlass%27s.jpg/400px-Redeemer_-_Flying_x2_though_canyon_attacking_Cutlass%27s.jpg.webp
221,Retaliator,Aegis Dynamics,Modular Gunship,,Large S4/M,4 – 7,true,https://media.starcitizen.tools/thumb/4/4a/Retaliator_x2_flying_over_cloud_firing_torpedoes_-_cropped_and_adjusted.png/400px-Retaliator_x2_flying_over_cloud_firing_torpedoes_-_cropped_and_adjusted.png.webp
222,ROC,Greycat Industrial,Mining,,Vehicle S1/XXS,1,true,https://media.starcitizen.tools/thumb/6/63/Grin_ROC_Gallery_Surface_CaveMining.jpg/400px-Grin_ROC_Gallery_Surface_CaveMining.jpg.webp
223,ROC-DS,Greycat Industrial,Mining,,Vehicle S1/XXS,1 – 2,false,https://media.starcitizen.tools/thumb/6/62/GRIN_ROC_DS_TopBanner_-_Crop.png/400px-GRIN_ROC_DS_TopBanner_-_Crop.png.webp
224,Sabre,Aegis Dynamics,Stealth Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/c/c7/Sabre_-_Flying_with_all_guns_firing.jpg/400px-Sabre_-_Flying_with_all_guns_firing.jpg.webp
225,Sabre Comet,Aegis Dynamics,Medium Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/f/fd/Sabre_Comet_-_Flying_away_from_world_through_debris_field.jpg/400px-Sabre_Comet_-_Flying_away_from_world_through_debris_field.jpg.webp
226,Sabre Firebird,Aegis Dynamics,Medium Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/6/61/Sabre_Firebird_flying_through_clouds_with_sun_behind_-_Cropped.jpg/400px-Sabre_Firebird_flying_through_clouds_with_sun_behind_-_Cropped.jpg.webp
227,Sabre Peregrine,Aegis Dynamics,Racing,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/1/12/Sabre_Peregrine_flying_fast_over_Teasa_Spaceport_-_Rear_Port.jpg/400px-Sabre_Peregrine_flying_fast_over_Teasa_Spaceport_-_Rear_Port.jpg.webp
228,San'tok.yāi,Aopoa,Medium Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/c/cb/San%27Tok.Yai_in_battle_over_world_firing_weapons_-_Cut.jpg/400px-San%27Tok.Yai_in_battle_over_world_firing_weapons_-_Cut.jpg.webp
229,Scorpius,Roberts Space Industries,Heavy Fighter,,Small S2/XS,1 – 2,true,https://media.starcitizen.tools/thumb/3/30/RSI_Scorpius_on_ArcCorp.png/400px-RSI_Scorpius_on_ArcCorp.png.webp
230,Scorpius Antares,Roberts Space Industries,Heavy Fighter,,Small S2/XS,1 – 2,true,https://media.starcitizen.tools/thumb/5/57/Scorpius_Antares_Concept_Roadmap.png/400px-Scorpius_Antares_Concept_Roadmap.png.webp
233,Spartan,Anvil Aerospace,Transport,,Vehicle S4/M,1,true,https://media.starcitizen.tools/thumb/f/ff/Spartan_Concept_Attack_-_cropped_and_adjusted.png/400px-Spartan_Concept_Attack_-_cropped_and_adjusted.png.webp
234,SRV,Argo Astronautics,Recovery,,Small S3/S,1,true,https://media.starcitizen.tools/thumb/5/5a/SRV_towing_cargo_container_into_hangar_-_Cut.png/400px-SRV_towing_cargo_container_into_hangar_-_Cut.png.webp
220,Reliant Tana,MISC,Light Fighter,,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/b/b7/Reliant_Tana_Formation_Alpha_3.9.jpg/400px-Reliant_Tana_Formation_Alpha_3.9.jpg.webp
239,Storm,Tumbril Land Systems,Combat Support,,Vehicle S4/M,1,true,https://media.starcitizen.tools/thumb/0/07/Storm_closeup_firing_weapons.jpg/400px-Storm_closeup_firing_weapons.jpg.webp
240,Storm AA,Tumbril Land Systems,Combat Support,,Vehicle S4/M,1,true,https://media.starcitizen.tools/thumb/0/01/Storm_AA_in_forest_firing_weapons_-_Cut_-_Contrast_change.jpg/400px-Storm_AA_in_forest_firing_weapons_-_Cut_-_Contrast_change.jpg.webp
241,STV,Greycat Industrial,Transport,,Vehicle S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/5/57/GRIN-STV-3.17.3-magda.jpg/400px-GRIN-STV-3.17.3-magda.jpg.webp
242,Syulen,Gatac Manufacture,Starter,,Small S3/S,1,true,https://media.starcitizen.tools/thumb/0/01/Syulen_leaving_microTech.png/400px-Syulen_leaving_microTech.png.webp
243,Talon,Esperia,Light Fighter,,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/f/f5/Talon_-_Diving_blurred_background.jpg/400px-Talon_-_Diving_blurred_background.jpg.webp
244,Talon Shrike,Esperia,Light Fighter,,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/7/74/Talon_Diving_Concept.jpg/400px-Talon_Diving_Concept.jpg.webp
245,Terrapin,Anvil Aerospace,Pathfinder,,Small S2/XS,1 – 2,true,https://media.starcitizen.tools/thumb/e/ed/Terrapin_-_x2_in_formation_over_worlds_-_cropped.jpg/400px-Terrapin_-_x2_in_formation_over_worlds_-_cropped.jpg.webp
246,Terrapin Medic,Anvil Aerospace,Medical support,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/4/48/SC-3.24_20241206_133812_Terrapin-Medic-over-Hurston.png/400px-SC-3.24_20241206_133812_Terrapin-Medic-over-Hurston.png.webp
247,Ursa,Roberts Space Industries,Exploration,,Vehicle S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/1/15/Ursa_3.1.4_01.png/400px-Ursa_3.1.4_01.png.webp
248,Ursa Fortuna,Roberts Space Industries,Exploration,,Vehicle S3/S,1 – 2,false,https://media.starcitizen.tools/thumb/e/e6/Ursa_Fortuna_on_barren_world_-_Leftside_-_cropped.jpg/400px-Ursa_Fortuna_on_barren_world_-_Leftside_-_cropped.jpg.webp
249,Ursa Medivac,Roberts Space Industries,Ambulance,,Vehicle S3/S,3 – 1,true,https://media.starcitizen.tools/thumb/0/06/Ursa_Medivac_driving_by_Cutlass_crash_site_-_Cropped.jpg/400px-Ursa_Medivac_driving_by_Cutlass_crash_site_-_Cropped.jpg.webp
250,Valkyrie,Anvil Aerospace,Dropship,,Large S4/M,1 – 5,true,https://media.starcitizen.tools/thumb/0/07/Valkyrie_flying_through_debris_shooting_back_at_ships_-_cut.jpg/400px-Valkyrie_flying_through_debris_shooting_back_at_ships_-_cut.jpg.webp
251,Valkyrie Liberator,Anvil Aerospace,Dropship,,Large S4/M,1 – 5,true,https://media.starcitizen.tools/thumb/b/b4/Valkyrie_%27Liberator%27_flying_fast_-_Above.png/400px-Valkyrie_%27Liberator%27_flying_fast_-_Above.png.webp
252,Vanguard Harbinger,Aegis Dynamics,Bomber,,Medium S3/S,2,true,https://media.starcitizen.tools/thumb/7/73/Harbinger_-_Main_gun_firing_close_-_Front.jpg/400px-Harbinger_-_Main_gun_firing_close_-_Front.jpg.webp
253,Vanguard Hoplite,Aegis Dynamics,Dropship,,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/f/f4/HopLite_-_Flying_over_ArcCorp_-_Crop.jpg/400px-HopLite_-_Flying_over_ArcCorp_-_Crop.jpg.webp
254,Vanguard Sentinel,Aegis Dynamics,Interdiction,,Medium S3/S,2,true,https://media.starcitizen.tools/thumb/c/cd/Sentinel_-_Flying_through_debris_field_firing_guns.jpg/400px-Sentinel_-_Flying_through_debris_field_firing_guns.jpg.webp
255,Vanguard Warden,Aegis Dynamics,Heavy Fighter,,Medium S3/S,2,true,https://media.starcitizen.tools/thumb/4/41/Warden_-_3.6.0_-_Landed_in_hangar_-_Front_Port.jpg/400px-Warden_-_3.6.0_-_Landed_in_hangar_-_Front_Port.jpg.webp
256,Vulcan,Aegis Dynamics,"Medium Repair, Medium Refuel",,Medium,1 – 3,false,https://media.starcitizen.tools/thumb/c/c3/Vulcan_-_Flying_repairing_Eclipse_with_drones.jpg/400px-Vulcan_-_Flying_repairing_Eclipse_with_drones.jpg.webp
257,Vulture,Drake Interplanetary,Light Salvage,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/b/b8/Vulture_flying_through_debris_field.jpg/400px-Vulture_flying_through_debris_field.jpg.webp
258,X1,Origin Jumpworks,Touring,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/9/9f/X1_firing_weapon_moving_fast_against_blurred_BG_-_Cut.png/400px-X1_firing_weapon_moving_fast_against_blurred_BG_-_Cut.png.webp
259,X1 Force,Origin Jumpworks,Combat,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/f/fa/X1_Force_firing_weapon_moving_fast_against_blurred_BG_-_Cut.png/400px-X1_Force_firing_weapon_moving_fast_against_blurred_BG_-_Cut.png.webp
260,X1 Velocity,Origin Jumpworks,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/d/d7/X1_Velocity_profile_streak.png/400px-X1_Velocity_profile_streak.png.webp
261,Zeus Mk II CL,Roberts Space Industries,Medium Freight,,Medium S3/S,1 – 3,true,https://media.starcitizen.tools/thumb/d/d6/Zeus_mkII_CL_landed_loading_cargo_-_cropped.png/400px-Zeus_mkII_CL_landed_loading_cargo_-_cropped.png.webp
262,Zeus Mk II ES,Roberts Space Industries,Explorer,,Medium S3/S,1 – 3,true,https://media.starcitizen.tools/thumb/9/9e/SC-3.24_20241025_204114_Zeus-ES-Good-Doctor_f.png/400px-SC-3.24_20241025_204114_Zeus-ES-Good-Doctor_f.png.webp
263,Zeus Mk II MR,Roberts Space Industries,Bounty Hunter,,Medium,1 – 3,false,https://media.starcitizen.tools/thumb/b/b0/RSI_ZeusMkII_MR_-_Cut.png/400px-RSI_ZeusMkII_MR_-_Cut.png.webp
236,Starfarer Gemini,MISC,Heavy Refuelling,,Large S5/L,1 – 7,true,https://media.starcitizen.tools/thumb/a/af/Starfarer_Gemini_-_Flying_with_blue_sky_and_clouds.jpg/400px-Starfarer_Gemini_-_Flying_with_blue_sky_and_clouds.jpg.webp
114,Expanse,MISC,Refinery,,Medium,1,false,https://media.starcitizen.tools/thumb/2/2b/Expanse_-_x2_flying_through_debris_field_-_Front.png/400px-Expanse_-_x2_flying_through_debris_field_-_Front.png.webp
126,Freelancer,MISC,Medium Freight,,Medium S3/S,1 – 4,true,https://media.starcitizen.tools/thumb/9/9f/Freelancer.jpg/400px-Freelancer.jpg.webp
152,Hull C,MISC,Heavy Freight,,Large S5/L,2 – 4,true,https://media.starcitizen.tools/thumb/c/ca/Fully_Loaded_Hull_C.png/400px-Fully_Loaded_Hull_C.png.webp
237,Starlancer MAX,MISC,Medium freight,,Large S5/L,1 – 4,true,https://media.starcitizen.tools/thumb/1/10/SC-3.24_20241115_110052_StarlancerMax-Clouds_f.png/400px-SC-3.24_20241115_110052_StarlancerMax-Clouds_f.png.webp
192,Odyssey,MISC,Expedition,,Capital,4 – 6,false,https://media.starcitizen.tools/thumb/8/82/MISC_Odyssey_Promo_flying_away_from_planet.jpg/400px-MISC_Odyssey_Promo_flying_away_from_planet.jpg.webp
151,Hull B,MISC,Heavy Freight,,Medium,1 – 2,false,https://media.starcitizen.tools/thumb/a/af/HullBLoaded.jpg/400px-HullBLoaded.jpg.webp
128,Freelancer MAX,MISC,Medium Freight,,Medium S3/S,1 – 4,true,https://media.starcitizen.tools/thumb/9/96/Freelancer_MAX_-_flying_above_grey_clouds.jpg/400px-Freelancer_MAX_-_flying_above_grey_clouds.jpg.webp
172,Merchantman,Banu,Heavy Freight,,Large,4 – 8,false,https://media.starcitizen.tools/thumb/8/8c/Merchantman_Concept_-_Citizen_Con_2021.png/400px-Merchantman_Concept_-_Citizen_Con_2021.png.webp
235,Starfarer,MISC,Heavy Refuelling,,Large S5/L,1 – 7,true,https://media.starcitizen.tools/thumb/f/fc/Starfarer_-_Flying_over_Lorville_with_traffic.jpg/400px-Starfarer_-_Flying_over_Lorville_with_traffic.jpg.webp
108,Defender,Banu,Medium Fighter,,Small S2/XS,1 – 2,true,https://media.starcitizen.tools/thumb/1/17/Defender_-_Firing_over_Delemar.jpg/400px-Defender_-_Firing_over_Delemar.jpg.webp
153,Hull D,MISC,Heavy Freight,,Capital,1 – 5,false,https://media.starcitizen.tools/thumb/8/8d/Hull_D_-_Docked_at_large_station.jpg/400px-Hull_D_-_Docked_at_large_station.jpg.webp
127,Freelancer DUR,MISC,Expedition,,Medium S3/S,1 – 4,true,https://media.starcitizen.tools/thumb/9/98/MISC-freelancer-dur-side-3.4.1.jpg/400px-MISC-freelancer-dur-side-3.4.1.jpg.webp
125,Fortune,MISC,Salvage,,Small,1,true,https://media.starcitizen.tools/thumb/7/73/Fortune_salvaging_crash_site_-_cropped.jpg/400px-Fortune_salvaging_crash_site_-_cropped.jpg.webp
217,Reliant Kore,MISC,"Starter, Light Freight",,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/b/ba/Reliant_Kore_Landing_in_New_Babbage_Alpha_3.9.jpg/400px-Reliant_Kore_Landing_in_New_Babbage_Alpha_3.9.jpg.webp
219,Reliant Sen,MISC,Light Science,,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/2/2f/Reliant_Sen_Formation_Alpha_3.9.jpg/400px-Reliant_Sen_Formation_Alpha_3.9.jpg.webp
218,Reliant Mako,MISC,Reporting,,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/9/9f/MISC_Reliant_Mako_Landing_at_Area11.png/400px-MISC_Reliant_Mako_Landing_at_Area11.png.webp
238,Starlancer TAC,MISC,Patrol,,Large,1 – 7,false,https://media.starcitizen.tools/thumb/1/1e/Starlancer_TAC_Flying_over_red_world_firing_guns_-_cropped.jpg/400px-Starlancer_TAC_Flying_over_red_world_firing_guns_-_cropped.jpg.webp
201,Prospector,MISC,"Mining, Prospecting",,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/d/dd/Prospector_-_Hovering_mining_on_cliffside_1.jpg/400px-Prospector_-_Hovering_mining_on_cliffside_1.jpg.webp
113,Endeavor,MISC,Heavy Science,,Capital,3 – 5,false,https://media.starcitizen.tools/thumb/d/d6/Endeavor.jpg/400px-Endeavor.jpg.webp
